"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia"
"1403","\N","01150113","01-15-01-1-3","10","18","1","\N","\N"
"1404","\N","01150114","01-15-01-1-4","10","18","1","\N","\N"
"1405","\N","01150115","01-15-01-1-5","10","18","1","\N","\N"
"1406","\N","01150116","01-15-01-1-6","10","18","1","\N","\N"
"1407","\N","01150117","01-15-01-1-7","10","18","1","\N","\N"
"1408","\N","01150121","01-15-01-2-1","10","18","1","\N","\N"
"1409","\N","01150122","01-15-01-2-2","10","18","1","\N","\N"
"1410","\N","01150123","01-15-01-2-3","10","18","1","\N","\N"
"1411","\N","01150124","01-15-01-2-4","10","18","1","\N","\N"
"1412","\N","01150125","01-15-01-2-5","10","18","1","\N","\N"
"1413","\N","01150126","01-15-01-2-6","10","18","1","\N","\N"
"1414","\N","01150127","01-15-01-2-7","10","18","1","\N","\N"
"1415","\N","01150131","01-15-01-3-1","10","18","1","\N","\N"
"1416","\N","01150132","01-15-01-3-2","10","18","1","\N","\N"
"1417","\N","01150133","01-15-01-3-3","10","18","1","\N","\N"
"1418","\N","01150134","01-15-01-3-4","10","18","1","\N","\N"
"1419","\N","01150135","01-15-01-3-5","10","18","1","\N","\N"
"1420","\N","01150136","01-15-01-3-6","10","18","1","\N","\N"
"1421","\N","01150137","01-15-01-3-7","10","18","1","\N","\N"
"1422","\N","01150141","01-15-01-4-1","10","18","1","\N","\N"
"1423","\N","01150142","01-15-01-4-2","10","18","1","\N","\N"
"1424","\N","01150143","01-15-01-4-3","10","18","1","\N","\N"
"1425","\N","01150144","01-15-01-4-4","10","18","1","\N","\N"
"1426","\N","01150145","01-15-01-4-5","10","18","1","\N","\N"
"1427","\N","01150146","01-15-01-4-6","10","18","1","\N","\N"
"1428","\N","01150147","01-15-01-4-7","10","18","1","\N","\N"
"1","\N","01010111","01-01-01-1-1","10","18","1","\N","\N"
"2","\N","01010112","01-01-01-1-2","10","18","1","\N","\N"
"3","\N","01010113","01-01-01-1-3","10","18","1","\N","\N"
"4","\N","01010114","01-01-01-1-4","10","18","1","\N","\N"
"5","\N","01010115","01-01-01-1-5","10","18","1","\N","\N"
"6","\N","01010116","01-01-01-1-6","10","18","1","\N","\N"
"7","\N","01010117","01-01-01-1-7","10","18","1","\N","\N"
"8","\N","01010121","01-01-01-2-1","10","18","1","\N","\N"
"9","\N","01010122","01-01-01-2-2","10","18","1","\N","\N"
"10","\N","01010123","01-01-01-2-3","10","18","1","\N","\N"
"11","\N","01010124","01-01-01-2-4","10","18","1","\N","\N"
"12","\N","01010125","01-01-01-2-5","10","18","1","\N","\N"
"13","\N","01010126","01-01-01-2-6","10","18","1","\N","\N"
"14","\N","01010127","01-01-01-2-7","10","18","1","\N","\N"
"15","\N","01010131","01-01-01-3-1","10","18","1","\N","\N"
"16","\N","01010132","01-01-01-3-2","10","18","1","\N","\N"
"17","\N","01010133","01-01-01-3-3","10","18","1","\N","\N"
"18","\N","01010134","01-01-01-3-4","10","18","1","\N","\N"
"19","\N","01010135","01-01-01-3-5","10","18","1","\N","\N"
"20","\N","01010136","01-01-01-3-6","10","18","1","\N","\N"
"21","\N","01010137","01-01-01-3-7","10","18","1","\N","\N"
"22","\N","01010141","01-01-01-4-1","10","18","1","\N","\N"
"23","\N","01010142","01-01-01-4-2","10","18","1","\N","\N"
"24","\N","01010143","01-01-01-4-3","10","18","1","\N","\N"
"25","\N","01010144","01-01-01-4-4","10","18","1","\N","\N"
"26","\N","01010145","01-01-01-4-5","10","18","1","\N","\N"
"27","\N","01010146","01-01-01-4-6","10","18","1","\N","\N"
"28","\N","01010147","01-01-01-4-7","10","18","1","\N","\N"
"29","\N","01010151","01-01-01-5-1","10","18","1","\N","\N"
"30","\N","01010152","01-01-01-5-2","10","18","1","\N","\N"
"31","\N","01010153","01-01-01-5-3","10","18","1","\N","\N"
"32","\N","01010154","01-01-01-5-4","10","18","1","\N","\N"
"33","\N","01010155","01-01-01-5-5","10","18","1","\N","\N"
"34","\N","01010156","01-01-01-5-6","10","18","1","\N","\N"
"35","\N","01010157","01-01-01-5-7","10","18","1","\N","\N"
"36","\N","01010211","01-01-02-1-1","10","18","1","\N","\N"
"37","\N","01010212","01-01-02-1-2","10","18","1","\N","\N"
"38","\N","01010213","01-01-02-1-3","10","18","1","\N","\N"
"39","\N","01010214","01-01-02-1-4","10","18","1","\N","\N"
"40","\N","01010215","01-01-02-1-5","10","18","1","\N","\N"
"41","\N","01010216","01-01-02-1-6","10","18","1","\N","\N"
"42","\N","01010217","01-01-02-1-7","10","18","1","\N","\N"
"43","\N","01010221","01-01-02-2-1","10","18","1","\N","\N"
"44","\N","01010222","01-01-02-2-2","10","18","1","\N","\N"
"45","\N","01010223","01-01-02-2-3","10","18","1","\N","\N"
"46","\N","01010224","01-01-02-2-4","10","18","1","\N","\N"
"47","\N","01010225","01-01-02-2-5","10","18","1","\N","\N"
"48","\N","01010226","01-01-02-2-6","10","18","1","\N","\N"
"49","\N","01010227","01-01-02-2-7","10","18","1","\N","\N"
"50","\N","01010231","01-01-02-3-1","10","18","1","\N","\N"
"51","\N","01010232","01-01-02-3-2","10","18","1","\N","\N"
"52","\N","01010233","01-01-02-3-3","10","18","1","\N","\N"
"53","\N","01010234","01-01-02-3-4","10","18","1","\N","\N"
"54","\N","01010235","01-01-02-3-5","10","18","1","\N","\N"
"55","\N","01010236","01-01-02-3-6","10","18","1","\N","\N"
"56","\N","01010237","01-01-02-3-7","10","18","1","\N","\N"
"57","\N","01010241","01-01-02-4-1","10","18","1","\N","\N"
"58","\N","01010242","01-01-02-4-2","10","18","1","\N","\N"
"59","\N","01010243","01-01-02-4-3","10","18","1","\N","\N"
"60","\N","01010244","01-01-02-4-4","10","18","1","\N","\N"
"61","\N","01010245","01-01-02-4-5","10","18","1","\N","\N"
"62","\N","01010246","01-01-02-4-6","10","18","1","\N","\N"
"63","\N","01010247","01-01-02-4-7","10","18","1","\N","\N"
"64","\N","01010251","01-01-02-5-1","10","18","1","\N","\N"
"65","\N","01010252","01-01-02-5-2","10","18","1","\N","\N"
"66","\N","01010253","01-01-02-5-3","10","18","1","\N","\N"
"67","\N","01010254","01-01-02-5-4","10","18","1","\N","\N"
"68","\N","01010255","01-01-02-5-5","10","18","1","\N","\N"
"69","\N","01010256","01-01-02-5-6","10","18","1","\N","\N"
"70","\N","01010257","01-01-02-5-7","10","18","1","\N","\N"
"71","\N","01010311","01-01-03-1-1","10","18","1","\N","\N"
"72","\N","01010312","01-01-03-1-2","10","18","1","\N","\N"
"73","\N","01010313","01-01-03-1-3","10","18","1","\N","\N"
"74","\N","01010314","01-01-03-1-4","10","18","1","\N","\N"
"75","\N","01010315","01-01-03-1-5","10","18","1","\N","\N"
"76","\N","01010316","01-01-03-1-6","10","18","1","\N","\N"
"77","\N","01010317","01-01-03-1-7","10","18","1","\N","\N"
"78","\N","01010321","01-01-03-2-1","10","18","1","\N","\N"
"79","\N","01010322","01-01-03-2-2","10","18","1","\N","\N"
"80","\N","01010323","01-01-03-2-3","10","18","1","\N","\N"
"81","\N","01010324","01-01-03-2-4","10","18","1","\N","\N"
"82","\N","01010325","01-01-03-2-5","10","18","1","\N","\N"
"83","\N","01010326","01-01-03-2-6","10","18","1","\N","\N"
"84","\N","01010327","01-01-03-2-7","10","18","1","\N","\N"
"85","\N","01010331","01-01-03-3-1","10","18","1","\N","\N"
"86","\N","01010332","01-01-03-3-2","10","18","1","\N","\N"
"87","\N","01010333","01-01-03-3-3","10","18","1","\N","\N"
"88","\N","01010334","01-01-03-3-4","10","18","1","\N","\N"
"89","\N","01010335","01-01-03-3-5","10","18","1","\N","\N"
"90","\N","01010336","01-01-03-3-6","10","18","1","\N","\N"
"91","\N","01010337","01-01-03-3-7","10","18","1","\N","\N"
"92","\N","01010341","01-01-03-4-1","10","18","1","\N","\N"
"93","\N","01010342","01-01-03-4-2","10","18","1","\N","\N"
"94","\N","01010343","01-01-03-4-3","10","18","1","\N","\N"
"95","\N","01010344","01-01-03-4-4","10","18","1","\N","\N"
"96","\N","01010345","01-01-03-4-5","10","18","1","\N","\N"
"97","\N","01010346","01-01-03-4-6","10","18","1","\N","\N"
"98","\N","01010347","01-01-03-4-7","10","18","1","\N","\N"
"99","\N","01010351","01-01-03-5-1","10","18","1","\N","\N"
"100","\N","01010352","01-01-03-5-2","10","18","1","\N","\N"
"101","\N","01010353","01-01-03-5-3","10","18","1","\N","\N"
"102","\N","01010354","01-01-03-5-4","10","18","1","\N","\N"
"103","\N","01010355","01-01-03-5-5","10","18","1","\N","\N"
"104","\N","01010356","01-01-03-5-6","10","18","1","\N","\N"
"105","\N","01010357","01-01-03-5-7","10","18","1","\N","\N"
"106","\N","01010411","01-01-04-1-1","10","18","1","\N","\N"
"107","\N","01010412","01-01-04-1-2","10","18","1","\N","\N"
"108","\N","01010413","01-01-04-1-3","10","18","1","\N","\N"
"109","\N","01010414","01-01-04-1-4","10","18","1","\N","\N"
"110","\N","01010415","01-01-04-1-5","10","18","1","\N","\N"
"111","\N","01010416","01-01-04-1-6","10","18","1","\N","\N"
"112","\N","01010417","01-01-04-1-7","10","18","1","\N","\N"
