"Klucz","RodzajDok","IdUzytk","DataCzasZapisu","NrWersjiNg","IdSesjiDb","MagazynZrodl","MagazynDocel","Status","NrWersji"
"127","1","30","2011-01-14 11:52:34.59877","1","2444","\N","1","10","2"
"137","1","30","2011-02-08 15:03:38.996766","1","2446","\N","1","10","2"
"128","1","30","2011-01-14 12:15:37.215324","1","2444","\N","1","10","2"
"125","1","30","2010-10-28 15:19:08.900672","1","2441","\N","1","10","2"
"148","1","30","2011-02-09 11:10:23.911674","1","2448","\N","1","10","2"
"126","1","30","2010-10-28 15:21:43.379434","1","2441","\N","1","10","2"
"129","1","30","2011-01-14 12:22:10.701747","1","2444","\N","1","10","2"
"138","1","30","2011-02-08 15:05:25.792059","1","2446","\N","1","10","2"
"130","1","30","2011-01-14 12:26:47.950463","1","2444","\N","1","10","2"
"159","1","30","2011-03-25 13:29:51.095652","1","2452","\N","1","10","2"
"131","1","30","2011-01-14 12:30:23.197317","1","2444","\N","1","10","2"
"139","1","30","2011-02-08 15:05:45.013356","1","2446","\N","1","10","2"
"132","1","30","2011-01-14 12:34:25.350713","1","2444","\N","1","10","2"
"149","1","30","2011-02-09 11:10:44.093888","1","2448","\N","1","10","2"
"133","1","30","2011-01-14 12:43:29.585054","1","2444","\N","1","10","2"
"140","1","30","2011-02-08 15:05:59.761082","1","2446","\N","1","10","2"
"134","1","30","2011-01-14 13:01:35.841787","1","2444","\N","1","10","2"
"177","1","30","2011-04-08 13:42:42.233514","1","2461","\N","1","10","2"
"135","1","30","2011-01-14 13:17:20.899848","1","2444","\N","1","10","2"
"141","1","30","2011-02-08 15:06:14.997959","1","2446","\N","1","10","2"
"136","1","30","2011-01-14 13:21:23.994204","1","2444","\N","1","10","2"
"150","1","30","2011-02-09 11:10:56.256255","1","2448","\N","1","10","2"
"142","1","30","2011-02-08 15:06:28.459319","1","2446","\N","1","10","2"
"160","1","30","2011-03-25 13:32:23.102494","1","2452","\N","1","10","2"
"143","1","30","2011-02-08 15:06:40.528407","1","2446","\N","1","10","2"
"151","1","30","2011-02-09 11:11:14.804196","1","2448","\N","1","10","2"
"144","1","30","2011-02-08 15:06:42.121258","1","2446","\N","1","10","2"
"179","1","30","2011-04-18 10:10:39.970654","1","2462","\N","1","10","2"
"145","1","30","2011-02-08 15:07:08.774126","1","2446","\N","1","10","2"
"152","1","30","2011-02-09 11:11:30.584977","1","2448","\N","1","10","2"
"146","1","30","2011-02-08 15:07:19.7937","1","2446","\N","1","10","2"
"161","1","30","2011-03-25 13:33:57.46205","1","2452","\N","1","10","2"
"147","1","30","2011-02-08 15:07:45.965099","1","2446","\N","1","10","2"
