"Klucz","KluczOpakJedn","IdCechy","Wartosc","NrWersji","IdSesji"
"3596","8920","121","RÓŻNE OD 23/08/2011 DO 18/10/2011","1","2581"
"3607","8926","112","OD 02/01/2011 DO 07/09/2011","1","2581"
"2240","7812","117","OD 01/03/2011 DO 16/03/2011","1","2551"
"2243","7816","117","OD 19/05/2011 DO 31/05/2011","1","2551"
"2246","7818","108","MIKROBIOLOGIA ","1","2551"
"2247","7818","109","OGÓLNE . POCHWY","1","2551"
"2249","7820","118","ZAPISKI HEMATOLOGFICZNE I ANALITYCZNE 01/04/2011 - 30/04/2011","1","2551"
"2251","7822","117","OD 17/03/2011 DO 30/03/2011","1","2551"
"2253","7824","108","MIKROBIOLOGIA","1","2551"
"2254","7824","109","MOCZE STYCZEŃ LUTY 2011","1","2551"
"2257","7826","108","MIKROBIOLOGIA","1","2551"
"81","1871","87","2010","1","2496"
"2506","8403","107","RK","1","2566"
"2258","7826","109","MOCZE III -IV 2011","1","2551"
"2261","7828","108","MIKROBIOLOGIA","1","2551"
"2262","7828","109","OGÓLNE . POCHWY I-II 2011","1","2551"
"2265","2276","107","RK","1","2553"
"2266","2276","106","168/09/2011","1","2553"
"2269","2299","107","RK","1","2553"
"2270","2299","106","170/09/2011","1","2553"
"2273","2307","107","RK","1","2553"
"2274","2307","106","172/09/2011","1","2553"
"2277","2326","107","RK","1","2553"
"2278","2326","106","174/09/2011","1","2553"
"2281","2068","107","RK","1","2553"
"2282","2068","106","176/09/2011","1","2553"
"2285","2067","107","RK","1","2553"
"2507","8403","106","244/10/2011","1","2566"
"2512","8406","107","RK","1","2566"
"3054","8361","107","RK","1","2569"
"82","1872","88","2006","1","2496"
"78","1847","81","","1","2469"
"3055","8361","106","504/102011","1","2569"
"3608","8926","111","MIKROBIOLOGIA","1","2581"
"83","1873","85","","1","2496"
"84","1873","86","2008","1","2496"
"85","1874","88","2006","1","2496"
"86","1875","85","2006","1","2496"
"87","1875","86","","1","2496"
"88","1876","85","","1","2496"
"89","1876","86","2008","1","2496"
"90","1880","87","2010","1","2496"
"91","1883","87","2006","1","2496"
"92","1884","87","2007","1","2496"
"93","1885","87","2010","1","2496"
"1912","2200","107","RK","1","2541"
"1913","2200","106","54/09/2011","1","2541"
"1926","2188","107","RK ","1","2541"
"1927","2188","106","60/09/2011","1","2541"
"1936","2198","107","RK ","1","2541"
"1937","2198","106","65/09/2011","1","2541"
"1944","2114","107","RK  karta","1","2541"
"1945","2114","106","69/09/2011","1","2541"
"1952","2183","107","RK","1","2541"
"1953","2183","106","73/09/2011","1","2541"
"1960","2116","107","RK karta","1","2541"
"1961","2116","106","77/09/2011","1","2541"
"1968","2096","107","RK  ","1","2541"
"1969","2096","106","82/09/2011","1","2541"
"1974","2147","107","RK  ","1","2541"
"1975","2147","106","85/09/2011","1","2541"
"1980","2128","107","RK  karta","1","2541"
"1981","2128","106","88/09/2011","1","2541"
"1986","2077","107","RK  ","1","2541"
"1987","2077","106","91/09/2011","1","2541"
"10492","3464","105","A2771459","1","2845"
"10493","3464","103","","1","2845"
"2166","1786","108","MIKROBIOLOGIA","1","2545"
"2167","1786","109","OGÓLNE V","1","2545"
"2004","2143","107","RK","1","2542"
"2005","2143","106","98/09/2011","1","2542"
"2010","2086","107","RK karta","1","2542"
"2011","2086","106","101/09/2011","1","2542"
"2016","2098","107","RK ","1","2542"
"2017","2098","106","104/09/2011","1","2542"
"2022","2051","107","RK ","1","2542"
"2023","2051","106","107/09/2011","1","2542"
"10494","3464","104","A2771458","1","2845"
"12290","2750","105","A2770459","1","2972"
"2034","2168","107","RK ","1","2542"
"2035","2168","106","113/09/2011","1","2542"
"2172","1789","108","MIKROBIOLOGIA","1","2545"
"2173","1789","109","OGÓLNE VIII","1","2545"
"2046","2093","107","RK ","1","2542"
"1618","2664","105","A2764014","1","2533"
"1619","2664","103","191/09/2011","1","2533"
"1620","2664","104","A2764013","1","2533"
"2047","2093","106","118/09/2011","1","2542"
"2177","1792","108","MIKROBIOLOGIA","1","2545"
"12291","2750","103","","1","2972"
"2058","2297","107","RK","1","2542"
"2059","2297","106","122/09/2011","1","2542"
"2064","2281","107","RK","1","2542"
"2065","2281","106","125/09/2011","1","2542"
"2070","2153","107","RK","1","2542"
"2071","2153","106","128/09/2011","1","2542"
"2076","2314","107","RK","1","2542"
"2077","2314","106","131/09/2011","1","2542"
"2082","2288","107","RK","1","2542"
"2083","2288","106","134/09/2011","1","2542"
"2088","2292","107","RK","1","2542"
"2089","2292","106","137/09/2011","1","2542"
"12292","2750","104","A2770458","1","2972"
"15721","18292","105","A2773580","1","3128"
"15722","18292","103","","1","3128"
"15723","18292","104","A2773579","1","3128"
"15730","18291","105","A2773578","1","3128"
"160","2737","105","A2764778","1","2525"
"161","2737","103","289/09/2011","1","2525"
"162","2737","104","A2764777","1","2525"
"163","2739","105","A2764692","1","2525"
"164","2739","103","291/09/2011","1","2525"
"165","2739","104","A2764691","1","2525"
"166","2496","105","A2764392","1","2525"
"167","2496","103","60/09/2011","1","2525"
"168","2496","104","A2764391","1","2525"
"169","2644","105","A2764274","1","2525"
"170","2644","103","149/09/2011","1","2525"
"171","2644","104","A2764273","1","2525"
"2094","2208","107","RK","1","2542"
"2095","2208","106","140/09/2011","1","2542"
"2100","2050","107","RK","1","2542"
"2101","2050","106","143/09/2011","1","2542"
"2106","2284","107","RK  ","1","2542"
"2107","2284","106","146/09/2011","1","2542"
"2112","2169","107","RK  ","1","2542"
"2113","2169","106","149/09/2011","1","2542"
"2118","2287","107","RK  ","1","2542"
"2119","2287","106","152/09/2011","1","2542"
"2124","2317","107","RK  ","1","2542"
"2125","2317","106","155/09/2011","1","2542"
"2130","2263","107","RK  ","1","2542"
"1914","2223","107","RK","1","2541"
"1915","2223","106","55/09/2011","1","2541"
"1928","2118","107","RK karta","1","2541"
"1929","2118","106","61/09/2011","1","2541"
"1938","2195","107","RK ","1","2541"
"1939","2195","106","66/09/2011","1","2541"
"1946","2120","107","RK  karta","1","2541"
"1947","2120","106","70/09/2011","1","2541"
"1954","2189","107","RK","1","2541"
"1955","2189","106","74/09/2011","1","2541"
"1962","2095","107","RK ","1","2541"
"1963","2095","106","79/09/2011","1","2541"
"1970","2136","107","RK  ","1","2541"
"1971","2136","106","83/09/2011","1","2541"
"1976","2158","107","RK  ","1","2541"
"1977","2158","106","86/09/2011","1","2541"
"1982","2112","107","RK  karta","1","2541"
"1983","2112","106","89/09/2011","1","2541"
"1988","2056","107","RK  ","1","2541"
"1989","2056","106","92/09/2011","1","2541"
"1994","2061","107","RK  karta","1","2541"
"1995","2061","106","95/09/2011","1","2541"
"2000","2171","107","RK  gotówka","1","2541"
"2001","2171","106","97/09/2011","1","2541"
"2006","2178","107","RK gotówka","1","2542"
"2007","2178","106","99/09/2011","1","2542"
"2012","2091","107","RK ","1","2542"
"2013","2091","106","102/09/2011","1","2542"
"2018","2106","107","RK ","1","2542"
"2019","2106","106","105/09/2011","1","2542"
"2024","2135","107","RK ","1","2542"
"2025","2135","106","108/09/2011","1","2542"
"2030","2097","107","RK ","1","2542"
"2031","2097","106","111/09/2011","1","2542"
"2036","2104","107","RK ","1","2542"
"2037","2104","106","114/09/2011","1","2542"
"2042","2065","107","RK ","1","2542"
"2043","2065","106","117/09/2011","1","2542"
"2048","2174","107","RK gotówka","1","2542"
"2049","2174","106","119/09/2011","1","2542"
"2054","2066","107","RK","1","2542"
"2055","2066","106","120/09/2011","1","2542"
"2060","2306","107","RK","1","2542"
"2061","2306","106","123/09/2011","1","2542"
"2066","2296","107","RK","1","2542"
"2067","2296","106","126/09/2011","1","2542"
"2072","2301","107","RK","1","2542"
"2073","2301","106","129/09/2011","1","2542"
"2078","2220","107","RK","1","2542"
"2079","2220","106","132/09/2011","1","2542"
"2084","2052","107","RK","1","2542"
"2085","2052","106","135/09/2011","1","2542"
"2090","2290","107","RK","1","2542"
"2091","2290","106","138/09/2011","1","2542"
"2096","2157","107","RK","1","2542"
"2097","2157","106","141/09/2011","1","2542"
"2102","2312","107","RK","1","2542"
"2103","2312","106","144/09/2011","1","2542"
"2108","2318","107","RK  ","1","2542"
"2109","2318","106","147/09/2011","1","2542"
"2114","2141","107","RK  ","1","2542"
"2115","2141","106","150/09/2011","1","2542"
"2120","2273","107","RK  ","1","2542"
"2121","2273","106","153/09/2011","1","2542"
"2126","2053","107","RK  ","1","2542"
"2127","2053","106","156/09/2011","1","2542"
"2131","2263","106","158/09/2011","1","2542"
"2134","2156","107","RK","1","2542"
"2135","2156","106","24/09/2011","1","2542"
"2168","1787","108","MIKROBIOLOGIA","1","2545"
"2169","1787","109","MOCZE","1","2545"
"2142","2122","107","RK karta","1","2543"
"2143","2122","106","159/09/2011","1","2543"
"2146","2179","107","RK gotówka","1","2543"
"2147","2179","106","161/09/2011","1","2543"
"2150","2069","107","RK ","1","2543"
"2151","2069","106","163/09/2011","1","2543"
"2154","2113","107","RK karta","1","2543"
"2155","2113","106","164/09/2011","1","2543"
"2158","2173","107","RK  gotówka","1","2543"
"2159","2173","106","166/09/2011","1","2543"
"2174","1790","110","02/02/2010 do 30/09/2010","1","2545"
"2178","1792","109","MYKOLOGICZNE OD II DO XII 2010","1","2545"
"2181","1794","108","MIKROBIOLOGIA","1","2545"
"2182","1794","109","KAŁY OD 08.02.2010 DO 31.10.2010","1","2545"
"2185","1796","108","MIKROBIOLOGIA","1","2545"
"2186","1796","109","PARAZYTOLOGICZNE OD 01.07.2010 DO 30.12.2010","1","2545"
"2189","1798","108","MIKROBIOLOGIA","1","2545"
"2190","1798","109","MOCZE XI-XII 2010","1","2545"
"2193","1800","108","MIKROBIOLOGIA","1","2545"
"2194","1800","109","OGÓLNE I POCHWY XII 2010","1","2545"
"2197","1802","108","MIKROBIOLOGIA","1","2545"
"2198","1802","109","POCHWY","1","2545"
"2201","1840","108","LAB. SEROLOGI TRANSFUZJOLOGICZNEJ","1","2545"
"2202","1840","109","NA BADANIA GRUPY KRWI","1","2545"
"2205","1843","114","10/05/2010 DO 30/12/2010","1","2545"
"2206","1843","113","MIKROBIOLOGIA","1","2545"
"2208","2202","117","od 01/08/2011 do 17/08/2011","1","2549"
"2210","2204","118","hemotologiczne i analityczne","1","2549"
"2212","7795","108","LABORATORIUM SEROLOGI I TRANSFUZJOLOGI","1","2549"
"2213","7795","109","NA BADANIA GRUPY KRWI","1","2549"
"2214","7796","108","LABORATORIUM SEROLOGI I TRANSFUZJOLOGI","1","2549"
"2215","7796","109","NA BADANIA GRUPY KRWI","1","2549"
"2216","7797","118","HEMATOLOGICZNE I ANALITYCZNE","1","2549"
"2217","7798","119","PUNKTU PRZYJĘCIA MATERIAŁU","1","2549"
"2218","7799","117","OD 17/06/2011 DO 30/06/2011","1","2549"
"8472","10209","127","A2766593","1","2734"
"4260","8966","130","HIV","1","2600"
"2496","2291","107","RK","1","2561"
"2241","7813","117","OD 01/04/2011 DO 18/04/2011","1","2551"
"2223","7800","108","LABORATORIUM SEROLOGI I TRANSFUZJOLOGI","1","2549"
"2224","7800","109","NA BADANIA GRUPY KRWI","1","2549"
"2225","7802","120","OD 01/12/2008 DO 30/04/2009
OD 01/05/2009 DO 31/08/2009
OD 01/09/2009 DO 31/12/2009
OD 01/01/2010 DO 31/03/2010
OD 01/04/2010 DO 31/07/2010","1","2549"
"2226","7803","118","ZAPISKI HEMATOLOGFICZNE I ANALITYCZNE 01/07/2011 - 30/07/2011","1","2549"
"2227","7808","118","ZAPISKI HEMATOLOGFICZNE I ANALITYCZNE 02/05/2011 - 31/05/2011","1","2549"
"2228","7807","117","OD 16/07/2011 DO 30/07/2011","1","2549"
"2229","7806","121","Kontrola wewnetrzna laboratorium hematologia i hoagulogia","1","2549"
"2230","7805","108","LABORATORIUM SEROLOGI I TRANSFUZJOLOGI","1","2549"
"4262","8964","114","01/02/2011-01/04/2011","1","2600"
"1916","2217","107","RK","1","2541"
"1917","2217","106","56/09/2011","1","2541"
"1930","2215","107","RK ","1","2541"
"1931","2215","106","62/09/2011","1","2541"
"1940","2115","107","RK karta","1","2541"
"1941","2115","106","67/09/2011","1","2541"
"1948","2190","107","RK  ","1","2541"
"1949","2190","106","71/09/2011","1","2541"
"1956","2121","107","RK karta","1","2541"
"1621","2669","105","A2764016","1","2533"
"1622","2669","103","196/09/2011","1","2533"
"328","2483","105","A2764136","1","2530"
"329","2483","103","47/09/2011","1","2530"
"330","2483","104","A2764135","1","2530"
"1623","2669","104","A2764015","1","2533"
"1957","2121","106","75/09/2011","1","2541"
"2160","1783","108","MIKROBIOLOGIA","1","2545"
"334","2714","105","A2764138","1","2530"
"335","2714","103","247/09/2011","1","2530"
"336","2714","104","A2764137","1","2530"
"337","2716","105","A2764140","1","2530"
"338","2716","103","249/09/2011","1","2530"
"339","2716","104","A2764139","1","2530"
"340","2718","105","A2764142","1","2530"
"341","2718","103","251/09/2011","1","2530"
"342","2718","104","A2764141","1","2530"
"343","2720","105","A2764144","1","2530"
"344","2720","103","253/09/2011","1","2530"
"345","2720","104","A2764143","1","2530"
"346","2722","105","A2764146","1","2530"
"347","2722","103","255/09/2011","1","2530"
"348","2722","104","A2764145","1","2530"
"2161","1783","109","MOCZE","1","2545"
"1663","2900","105","A2764042","1","2533"
"1664","2900","103","412/09/2011 ","1","2533"
"12293","2749","105","A2770690","1","2972"
"12294","2749","103","","1","2972"
"12295","2749","104","A2770689","1","2972"
"10495","3465","105","A2771297","1","2845"
"10496","3465","103","","1","2845"
"10497","3465","104","A2771296","1","2845"
"10546","2754","105","A2767982","1","2846"
"10547","2754","103","349/09/2011","1","2846"
"10548","2754","104","A2767981","1","2846"
"361","2772","105","A2764154","1","2530"
"362","2772","103","276/09/2011","1","2530"
"363","2772","104","A2764153","1","2530"
"364","2769","105","A2764156","1","2530"
"365","2769","103","274/09/2011","1","2530"
"366","2769","104","A2764155","1","2530"
"1665","2900","104","A2764041","1","2533"
"1672","2897","105","A2764048","1","2533"
"1673","2897","103","409/09/2011 ","1","2533"
"370","2808","105","A2764160","1","2530"
"371","2808","103","332/09/2011","1","2530"
"372","2808","104","A2764159","1","2530"
"373","2795","105","A2764158","1","2530"
"374","2795","103","317/09/2011","1","2530"
"375","2795","104","A2764157","1","2530"
"376","2673","105","A2764162","1","2530"
"377","2673","103","400/09/2011","1","2530"
"378","2673","104","A2764161","1","2530"
"379","2779","105","A2764164","1","2530"
"380","2779","103","304/09/2011","1","2530"
"381","2779","104","A2764163","1","2530"
"382","2783","105","A2764166","1","2530"
"383","2783","103","308/09/2011","1","2530"
"384","2783","104","A2764165","1","2530"
"385","2800","105","A2764168","1","2530"
"386","2800","103","323/09/2011","1","2530"
"387","2800","104","A2764167","1","2530"
