"Klucz","KluczOpakZewn","KodKreskowy","OpisOpakowania","StatusOpak","IdRodzOpak","NrWersji","IdSesji","NrZlecenia","DataBrakowania","OstatniePrzyj","OstatnieWyd","IdGrupyDokKl","RokDokumentu"
"8189","\N","000000008189","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"14303","\N","000000014303","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"11327","4303","000000011327","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"3492","\N","000000003492","\N","10","23","2","2553","\N","2013-12-31 00:00:00","\N","\N","143","2008"
"8469","\N","000000008469","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"1870","\N","000000001870","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"2119","3526","000000002119","\N","10","23","4","2553","","2013-12-31 00:00:00","\N","\N","134","2007"
"10280","4358","000000010280","\N","10","23","4","2812","","2031-12-31 00:00:00","\N","\N","147","2011"
"1846","\N","000000001846","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8470","\N","000000008470","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8471","\N","000000008471","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8472","\N","000000008472","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"1847","\N","000000001847","\N","10","23","3","2469","\N","2016-12-31 00:00:00","\N","\N","103","2011"
"2049","3615","000000002049","\N","10","23","4","2553","","2014-12-31 00:00:00","\N","\N","134","2008"
"8473","\N","000000008473","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8474","\N","000000008474","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8475","\N","000000008475","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8476","\N","000000008476","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8477","\N","000000008477","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8478","\N","000000008478","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8479","\N","000000008479","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"2958","3895","000000002958","\N","10","23","4","2628","","2029-12-31 00:00:00","\N","\N","132","2009"
"14304","\N","000000014304","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"10190","4155","000000010190","\N","10","23","4","2714","","2017-12-31 00:00:00","\N","\N","134","2010"
"9402","\N","000000009402","\N","10","23","2","2681","\N","2018-12-31 00:00:00","\N","\N","126","2012"
"8497","3992","000000008497","\N","10","23","4","2661","","2015-12-31 00:00:00","\N","\N","134","2009"
"11328","4279","000000011328","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"8498","3959","000000008498","\N","10","23","4","2661","","2015-12-31 00:00:00","\N","\N","134","2009"
"14305","\N","000000014305","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8499","3957","000000008499","\N","10","23","4","2661","","2015-12-31 00:00:00","\N","\N","134","2009"
"14306","\N","000000014306","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"11329","4276","000000011329","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"8491","\N","000000008491","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"8542","3985","000000008542","\N","10","23","4","2657","","2015-12-31 00:00:00","\N","\N","134","2009"
"14307","\N","000000014307","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"11330","4274","000000011330","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"23683","\N","000000023683","\N","10","23","2","3874","\N","2017-12-31 00:00:00","\N","\N","134","2010"
"11331","4278","000000011331","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"23606","\N","000000023606","\N","10","23","2","3874","\N","2016-12-31 00:00:00","\N","\N","134","2009"
"11332","4275","000000011332","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"21973","\N","000000021973","\N","10","23","2","3874","\N","2015-12-31 00:00:00","\N","\N","134","2008"
"1877","\N","000000001877","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"11333","4305","000000011333","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"24916","\N","000000024916","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"11334","4309","000000011334","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"24917","\N","000000024917","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"11335","4304","000000011335","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"24918","\N","000000024918","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"11336","4333","000000011336","\N","10","23","4","2836","","2020-12-31 00:00:00","\N","\N","153","2012"
"24919","\N","000000024919","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24920","\N","000000024920","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24921","\N","000000024921","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24922","\N","000000024922","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"12490","\N","000000012490","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24923","\N","000000024923","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24924","\N","000000024924","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24925","\N","000000024925","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24926","\N","000000024926","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"1783","\N","000000001783","\N","10","23","4","2545","\N","2015-12-31 00:00:00","\N","\N","136","2010"
"24927","\N","000000024927","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"1784","\N","000000001784","\N","10","23","3","2545","\N","2015-12-31 00:00:00","\N","\N","136","2010"
"24928","\N","000000024928","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"10619","4350","000000010619","\N","10","23","4","2880","","2030-12-31 00:00:00","\N","\N","132","2010"
"14308","\N","000000014308","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"14309","\N","000000014309","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24929","\N","000000024929","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24930","\N","000000024930","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24931","\N","000000024931","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24932","\N","000000024932","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
"24933","\N","000000024933","\N","0","\N","1","\N","\N","\N","\N","\N","\N","\N"
