"KluczMag","IdOpakJedn","IdMagazynu","NrWersji","IdSesji"
"384","1792","1","1","\N"
"385","1793","1","1","\N"
"375","1783","1","1","\N"
"376","1784","1","1","\N"
"377","1785","1","1","\N"
"378","1786","1","1","\N"
"379","1787","1","1","\N"
"380","1788","1","1","\N"
"381","1789","1","1","\N"
"382","1790","1","1","\N"
"383","1791","1","1","\N"
"386","1794","1","1","\N"
"387","1795","1","1","\N"
"388","1796","1","1","\N"
"389","1797","1","1","\N"
"390","1798","1","1","\N"
"391","1799","1","1","\N"
"392","1800","1","1","\N"
"393","1801","1","1","\N"
"394","1802","1","1","\N"
"395","1803","1","1","\N"
"396","1804","1","1","\N"
"397","1805","1","1","\N"
"398","1806","1","1","\N"
"399","1807","1","1","\N"
"400","1808","1","1","\N"
"401","1809","1","1","\N"
"402","1810","1","1","\N"
"403","1811","1","1","\N"
"404","1812","1","1","\N"
"405","1813","1","1","\N"
"406","1814","1","1","\N"
"407","1815","1","1","\N"
"408","1816","1","1","\N"
"409","1817","1","1","\N"
"410","1818","1","1","\N"
"411","1819","1","1","\N"
"412","1820","1","1","\N"
"413","1821","1","1","\N"
"414","1822","1","1","\N"
"415","1823","1","1","\N"
"416","1824","1","1","\N"
"417","1825","1","1","\N"
"418","1826","1","1","\N"
"419","1827","1","1","\N"
"420","1828","1","1","\N"
"421","1829","1","1","\N"
"422","1830","1","1","\N"
"423","1831","1","1","\N"
"424","1832","1","1","\N"
"425","1833","1","1","\N"
"426","1834","1","1","\N"
"427","1835","1","1","\N"
"428","1836","1","1","\N"
"429","1837","1","1","\N"
"430","1838","1","1","\N"
"431","1839","1","1","\N"
"432","1840","1","1","\N"
"433","1841","1","1","\N"
"434","1842","1","1","\N"
"435","1843","1","1","\N"
"436","1844","1","1","\N"
"437","1845","1","1","\N"
"438","1846","1","1","\N"
"439","1847","1","1","\N"
"440","1848","1","1","\N"
"441","1849","1","1","\N"
"442","1850","1","1","\N"
"443","1851","1","1","\N"
"444","1852","1","1","\N"
"445","1853","1","1","\N"
"446","1854","1","1","\N"
"447","1855","1","1","\N"
"448","1856","1","1","\N"
"449","1857","1","1","\N"
"450","1858","1","1","\N"
"451","1859","1","1","\N"
"452","1860","1","1","\N"
"453","1861","1","1","\N"
"454","1862","1","1","\N"
"455","1863","1","1","\N"
"456","1864","1","1","\N"
"457","1865","1","1","\N"
"458","1866","1","1","\N"
"459","1867","1","1","\N"
"460","1868","1","1","\N"
"461","1869","1","1","\N"
"462","1870","1","1","\N"
"463","1871","1","1","\N"
"464","1872","1","1","\N"
"465","1873","1","1","\N"
"466","1874","1","1","\N"
"467","1875","1","1","\N"
"468","1876","1","1","\N"
"469","1877","1","1","\N"
"470","1878","1","1","\N"
"471","1879","1","1","\N"
"472","1880","1","1","\N"
"473","1881","1","1","\N"
"474","1882","1","1","\N"
"475","1883","1","1","\N"
"476","1884","1","1","\N"
"477","1885","1","1","\N"
"478","1886","1","1","\N"
"479","1887","1","1","\N"
"480","1888","1","1","\N"
"481","1889","1","1","\N"
"482","1890","1","1","\N"
"483","1891","1","1","\N"
"484","1892","1","1","\N"
"485","1893","1","1","\N"
"486","1894","1","1","\N"
"487","1895","1","1","\N"
"488","1896","1","1","\N"
"489","1897","1","1","\N"
"490","1898","1","1","\N"
"491","1899","1","1","\N"
"492","1900","1","1","\N"
"493","1901","1","1","\N"
"494","1902","1","1","\N"
"495","1903","1","1","\N"
"496","1904","1","1","\N"
"497","1905","1","1","\N"
"498","1906","1","1","\N"
"499","1907","1","1","\N"
"500","1908","1","1","\N"
"501","1909","1","1","\N"
"502","1910","1","1","\N"
"503","1911","1","1","\N"
"504","1912","1","1","\N"
"505","1913","1","1","\N"
"506","1914","1","1","\N"
"507","1915","1","1","\N"
"508","1916","1","1","\N"
"509","1917","1","1","\N"
"510","1918","1","1","\N"
"511","1919","1","1","\N"
"512","1920","1","1","\N"
"513","1921","1","1","\N"
"514","1922","1","1","\N"
