"Klucz","IdDokNg","MinNrWersjiNg","MaxNrWersjiNg","IdOpak","NrWersji","IdSesji"
"482","127","1","1","1792","1","\N"
"483","128","1","1","1793","1","\N"
"473","125","1","1","1783","1","\N"
"474","126","1","1","1784","1","\N"
"475","126","1","1","1785","1","\N"
"476","126","1","1","1786","1","\N"
"477","126","1","1","1787","1","\N"
"478","126","1","1","1788","1","\N"
"479","126","1","1","1789","1","\N"
"480","126","1","1","1790","1","\N"
"481","126","1","1","1791","1","\N"
"484","128","1","1","1794","1","\N"
"485","128","1","1","1795","1","\N"
"486","129","1","1","1796","1","\N"
"487","130","1","1","1797","1","\N"
"488","131","1","1","1798","1","\N"
"489","132","1","1","1799","1","\N"
"490","133","1","1","1800","1","\N"
"491","134","1","1","1801","1","\N"
"492","135","1","1","1802","1","\N"
"493","136","1","1","1803","1","\N"
"494","137","1","1","1804","1","\N"
"495","138","1","1","1805","1","\N"
"496","139","1","1","1806","1","\N"
"497","140","1","1","1807","1","\N"
"498","141","1","1","1808","1","\N"
"499","142","1","1","1809","1","\N"
"500","143","1","1","1810","1","\N"
"501","144","1","1","1811","1","\N"
"502","145","1","1","1812","1","\N"
"503","146","1","1","1813","1","\N"
"504","147","1","1","1814","1","\N"
"505","148","1","1","1815","1","\N"
"506","149","1","1","1816","1","\N"
"507","150","1","1","1817","1","\N"
"508","151","1","1","1818","1","\N"
"509","152","1","1","1819","1","\N"
"510","153","1","1","1820","1","\N"
"511","154","1","1","1821","1","\N"
"512","155","1","1","1822","1","\N"
"513","156","1","1","1823","1","\N"
"514","157","1","1","1824","1","\N"
"515","158","1","1","1825","1","\N"
"516","159","1","1","1826","1","\N"
"517","160","1","1","1827","1","\N"
"518","161","1","1","1828","1","\N"
"519","162","1","1","1829","1","\N"
"520","163","1","1","1830","1","\N"
"521","164","1","1","1831","1","\N"
"522","165","1","1","1832","1","\N"
"523","166","1","1","1833","1","\N"
"524","167","1","1","1834","1","\N"
"525","168","1","1","1835","1","\N"
"526","169","1","1","1836","1","\N"
"527","170","1","1","1837","1","\N"
"528","171","1","1","1838","1","\N"
"529","172","1","1","1839","1","\N"
"530","173","1","1","1840","1","\N"
"531","174","1","1","1841","1","\N"
"532","175","1","1","1842","1","\N"
"533","176","1","1","1843","1","\N"
"534","177","1","1","1844","1","\N"
"535","178","1","1","1845","1","\N"
"536","179","1","1","1846","1","\N"
"537","180","1","1","1847","1","\N"
"538","181","1","1","1848","1","\N"
"539","182","1","1","1849","1","\N"
"540","183","1","1","1850","1","\N"
"541","184","1","1","1851","1","\N"
"542","185","1","1","1852","1","\N"
"543","186","1","1","1853","1","\N"
"544","187","1","1","1854","1","\N"
"545","188","1","1","1855","1","\N"
"546","189","1","1","1856","1","\N"
"547","190","1","1","1857","1","\N"
"548","191","1","1","1858","1","\N"
"549","192","1","1","1859","1","\N"
"550","193","1","1","1860","1","\N"
"551","194","1","1","1861","1","\N"
"552","195","1","1","1862","1","\N"
"553","196","1","1","1863","1","\N"
"554","197","1","1","1864","1","\N"
"555","198","1","1","1865","1","\N"
"556","199","1","1","1866","1","\N"
"557","200","1","1","1867","1","\N"
"558","201","1","1","1868","1","\N"
"559","202","1","1","1869","1","\N"
"560","203","1","1","1870","1","\N"
